Name,imdb_url,screentime,episodes,portrayed_by_name
Rickon Stark,http://www.imdb.com/character/ch0233141/,12.45,14,Art Parkinson
Rodrik Cassel,http://www.imdb.com/character/ch0171391/,12.45,15,Ron Donachie
Waif,http://www.imdb.com/character/ch0508054/,12.45,11,Faye Marsay
Hot Pie,http://www.imdb.com/character/ch0273432/,12.45,10,Ben Hawkey
Rast,http://www.imdb.com/character/ch0251498/,12.45,12,Luke Barnes
Septa Unella,http://www.imdb.com/character/ch0512215/,12.3,8,Hannah Waddingham
Olly,http://www.imdb.com/character/ch0508055/,12.3,17,Brenock O'Connor
Doreah,http://www.imdb.com/character/ch0248504/,12.3,11,Roxanne McKee
Balon Greyjoy,http://www.imdb.com/character/ch0292152/,12.15,4,Patrick Malahide
Benjen Stark,http://www.imdb.com/character/ch0153996/,12,7,Joseph Mawle
Pypar,http://www.imdb.com/character/ch0273477/,12,13,Josef Altin
Yoren,http://www.imdb.com/character/ch0251493/,12,7,Francis Magee
Myrcella Baratheon,http://www.imdb.com/character/ch0238585/,11.45,12,Aimee Richardson
Hizdahr zo Loraq,http://www.imdb.com/character/ch0414458/,11.45,8,Joel Fry
Mace Tyrell,http://www.imdb.com/character/ch0384328/,11.3,13,Roger Ashton-Griffiths
Robin Arryn,http://www.imdb.com/character/ch0300949/,11.15,8,Lino Facioli
Beric Dondarrion,http://www.imdb.com/character/ch0305320/,11.15,6,David Michael Scott
Karl Tanner,http://www.imdb.com/character/ch0396528/,11.15,4,Burn Gorman
Selyse Baratheon,http://www.imdb.com/character/ch0316924/,11,11,Sarah MacKeever
Xaro Xhoan Daxos,http://www.imdb.com/character/ch0303950/,10.3,5,Nonso Anozie
Irri,http://www.imdb.com/character/ch0249444/,10,13,Amrita Acharia
Lady Crane,http://www.imdb.com/character/ch0541190/,10,3,Essie Davis
Qhorin Halfhand,http://www.imdb.com/character/ch0303951/,9.3,4,Simon Armstrong
Orell,http://www.imdb.com/character/ch0316922/,9,6,Mackenzie Crook
Rakharo,http://www.imdb.com/character/ch0251495/,8.45,8,Elyes Gabel
Kevan Lannister,http://www.imdb.com/character/ch0305013/,8.3,11,Ian Gelder
Tyene Sand,http://www.imdb.com/character/ch0468075/,8.3,7,Rosabell Laurenti Sellers
Olyvar,http://www.imdb.com/character/ch0403194/,8.15,6,Will Tudor
Three-Eyed Raven,http://www.imdb.com/character/ch0414457/,8,9,Struan Rodger
Alton Lannister,http://www.imdb.com/character/ch0305012/,8,3,Karl Davies
Yezzan zo Qaggaz,http://www.imdb.com/character/ch0470706/,7.45,4,Enzo Cilenti
Doran Martell,http://www.imdb.com/character/ch0468006/,7.3,5,Alexander Siddig
Mirri Maz Duur,http://www.imdb.com/character/ch0305011/,7.3,3,Mia Soteriou
Wun Wun,http://www.imdb.com/character/ch0524621/,7.3,5,Ian Whyte
Syrio Forel,http://www.imdb.com/character/ch0246934/,7.15,3,Miltos Yerolemou
Nymeria Sand,http://www.imdb.com/character/ch0468074/,7,7,Jessica Henwick
Obara Sand,http://www.imdb.com/character/ch0468001/,6.45,7,Keisha Castle-Hughes
Razdal mo Eraz,http://www.imdb.com/character/ch0413591/,6.45,3,George Georgiou
Euron Greyjoy,http://www.imdb.com/character/ch0518715/,6.3,2,Pilou Asbæk
Craster,http://www.imdb.com/character/ch0300218/,6.3,5,Robert Pugh
Brother Ray,http://www.imdb.com/character/ch0541878/,6.3,unspecified,Ian McShane
Matthos Seaworth,http://www.imdb.com/character/ch0305029/,6.3,3,Kerr Logan
Salladhor Saan,http://www.imdb.com/character/ch0381104/,6.15,3,Lucian Msamati
Jory Cassel,http://www.imdb.com/character/ch0245400/,6.15,5,Jamie Sives
Othell Yarwyck,http://www.imdb.com/character/ch0305003/,6.15,13,Brian Fortune
Will,http://www.imdb.com/character/ch0171394/,6.15,unspecified,Bronson Webb
Septa Mordane,http://www.imdb.com/character/ch0248505/,6,6,Susan Brown
Polliver,http://www.imdb.com/character/ch0305023/,6,2,Andy Kellegher
Yohn Royce,http://www.imdb.com/character/ch0524546/,5.45,4,Rupert Vansittart
Kraznys mo Nakloz,http://www.imdb.com/character/ch0339503/,5.45,3,Dan Hildebrand
The Night's King,http://www.imdb.com/character/ch0512154/,5.3,5,Richard Brake
Spice King,http://www.imdb.com/character/ch0305005/,5.3,3,Nicholas Blane
Styr,http://www.imdb.com/character/ch0400416/,5.3,4,Yuri Kolokolnikov
Dagmer Cleftjaw,http://www.imdb.com/character/ch0304762/,5.15,5,Ralph Ineson
Khal Moro,http://www.imdb.com/character/ch0538748/,5.15,3,Joseph Naufahu
Rickard Karstark,http://www.imdb.com/character/ch0305331/,5.15,6,Steve Blount
Rattleshirt,http://www.imdb.com/character/ch0305888/,5.15,4,Edward Dogliani
Karsi,http://www.imdb.com/character/ch0512707/,5.15,unspecified,Birgitte Hjort Sørensen
Qotho,http://www.imdb.com/character/ch0246162/,5.15,6,Dar Salim
Armeca,http://www.imdb.com/character/ch0305014/,5.15,3,Sahara Knite
Anguy,http://www.imdb.com/character/ch0316930/,5,6,Philip McGinley
Greatjon Umber,http://www.imdb.com/character/ch0305010/,5,3,Clive Mantle
Lothar Frey,http://www.imdb.com/character/ch0384471/,5,7,Tom Brooke
Vala,http://www.imdb.com/character/ch0539344/,5,3,Meena Rayann
Shagga,http://www.imdb.com/character/ch0305021/,5,2,Mark Lewis Jones
Ser Dontos Hollard,http://www.imdb.com/character/ch0305031/,4.45,4,Tony Way
Black Walder Rivers,http://www.imdb.com/character/ch0014591/,4.45,7,Bryan McCaugherty
Lyanna Mormont,http://www.imdb.com/character/ch0541884/,4.3,3,Bella Ramsey
Mossador,http://www.imdb.com/character/ch0508053/,4.3,3,Reece Noi
Pyat Pree,http://www.imdb.com/character/ch0303952/,4.3,3,Ian Hanmore
Leaf,http://www.imdb.com/character/ch0467999/,4.15,4,Octavia Selena Alexandru
Walda Bolton,http://www.imdb.com/character/ch0506401/,4,5,Elizabeth Webster
Randyll Tarly,http://www.imdb.com/character/ch0524408/,4,unspecified,James Faulkner
Malko,http://www.imdb.com/character/ch0519184/,4,2,Adewale Akinnuoye-Agbaje
Trystane Martell,http://www.imdb.com/character/ch0506400/,3.45,5,Toby Sebastian
Areo Hotah,http://www.imdb.com/character/ch0507107/,3.45,5,Deobia Oparei
Aeron Greyjoy,http://www.imdb.com/character/ch0540081/,3.45,2,Michael Feast
Loboda,http://www.imdb.com/character/ch0511931/,3.45,unspecified,Zachary Baharov
Melessa Tarly,http://www.imdb.com/character/ch0541191/,3.3,unspecified,Samantha Spiro
Amory Lorch,http://www.imdb.com/character/ch0305002/,3.3,4,Fintan McKeown
Illyrio Mopatis,http://www.imdb.com/character/ch0172909/,3.3,2,Roger Allam
Smalljon Umber,http://www.imdb.com/character/ch0540067/,3.3,2,Dean S. Jagger
Bowen Marsh,http://www.imdb.com/character/ch0305036/,3.3,9,Brian Fortune
Tycho Nestoris,http://www.imdb.com/character/ch0468190/,3.15,2,Mark Gatiss
Kovarro,http://www.imdb.com/character/ch0304969/,3.15,6,Steven Cole
Maester Cressen,http://www.imdb.com/character/ch0255280/,3.15,unspecified,Oliver Ford Davies
Robett Glover,http://www.imdb.com/character/ch0541747/,3,unspecified,Tim McInnerny
Hallyne,http://www.imdb.com/character/ch0259178/,3,2,Roy Dotrice
High Priestess,http://www.imdb.com/character/ch0539898/,3,2,Souad Faress
Vardis Egen,http://www.imdb.com/character/ch0294458/,3,2,Brendan McCormack
Marillion,http://www.imdb.com/character/ch0305001/,3,4,Emun Elliott
Mero,http://www.imdb.com/character/ch0123670/,3,unspecified,Mark Killeen
Marei,http://www.imdb.com/character/ch0431527/,3,6,Josephine Gillan
Izembaro,http://www.imdb.com/character/ch0540561/,2.45,3,Richard E. Grant
Lommy Greenhands,http://www.imdb.com/character/ch0257030/,2.45,4,Eros Vlahos
Old Nan,http://www.imdb.com/character/ch0305018/,2.45,4,Margaret John
Joyeuse Erenford,http://www.imdb.com/character/ch0304494/,2.45,2,Kelly Long
Mord,http://www.imdb.com/character/ch0229099/,2.45,2,Ciaran Bermingham
Waymar Royce,http://www.imdb.com/character/ch0171390/,2.45,unspecified,Rob Ostlere
Kinvara,http://www.imdb.com/character/ch0540065/,2.3,unspecified,Ania Bukstein
Talla Tarly,http://www.imdb.com/character/ch0523897/,2.3,unspecified,Rebecca Benson
Daisy,http://www.imdb.com/character/ch0305015/,2.3,3,Maisie Dee
Gared,http://www.imdb.com/character/ch0171395/,2.3,unspecified,Dermot Keaney
Ilyn Payne,http://www.imdb.com/character/ch0246254/,2.15,4,Wilko Johnson
Roslin Frey,http://www.imdb.com/character/ch0391563/,2.15,unspecified,Alexandra Dowling
Ternesio Terys,http://www.imdb.com/character/ch0473552/,2,2,Gary Oliver
Quaithe,http://www.imdb.com/character/ch0305022/,1.45,2,Laura Pradelska
Hugh of the Vale,http://www.imdb.com/character/ch0305026/,1.45,2,Jefferson Hall
Rorge,http://www.imdb.com/character/ch0305019/,1.45,4,Andy Beckwith
Tickler,http://www.imdb.com/character/ch0305033/,1.45,2,Anthony Morris
Lollys Stokeworth,http://www.imdb.com/character/ch0511247/,1.45,unspecified,Elizabeth Cadwallader
Mhaegen,http://www.imdb.com/character/ch0305038/,1.15,2,Antonia Christophers
Biter,http://www.imdb.com/character/ch0305028/,1.15,5,Gerard Jordan
Lhara,http://www.imdb.com/character/ch0476558/,1.15,3,Sarine Sofair
Tobho Mott,http://www.imdb.com/character/ch0305039/,1.15,2,Andrew Wilde
